Chapter 1: Introduction; ''
Chapter 2: I Should Have Been a Statistic; ''
Chapter 3: Truth Hurts; ''
Chapter 4: The Impossible Task; ''
Chapter 5: Taking Souls; ''
Chapter 6: Armored Mind; ''
Chapter 7: It’s Not About a Trophy; ''
Chapter 8: The Accountability Mirror; ''
Chapter 9: The 40% Rule; ''
Chapter 10: Conclusion; ''
