Chapter 1: Introduction; ''
Chapter 2: The Mindsets; ''
Chapter 3: Inside the Mindsets; ''
Chapter 4: The Truth About Ability and Accomplishment; ''
Chapter 5: Sports: The Mindset of a Champion; ''
Chapter 6: Business: Mindset and Leadership; ''
Chapter 7: Relationships: Mindsets in Love (Or Not); ''
Chapter 8: Parents, Teachers, and Coaches: Where Do Mindsets Come From?; ''
Chapter 9: Changing Mindsets; ''
